Code,Display Name (editable),Native Name (Display),ISO English name of Language,ISO 639-2 Code,RTL,Comments
din,Dinka,,Dinka,din,No,
doi,Dogri,,Dogri,doi,No,
dra,Dravidian languages,,Dravidian languages,dra,No,
dsb,Lower Sorbian,,Lower Sorbian,dsb,No,
dua,Duala,,Duala,dua,No,
dum,"Dutch, Middle (ca.1050-1350)",,"Dutch, Middle (ca.1050-1350)",dum,No,
dyu,Dyula,,Dyula,dyu,No,
efi,Efik,,Efik,efi,No,
egy,Egyptian (Ancient),,Egyptian (Ancient),egy,No,
eka,Ekajuk,,Ekajuk,eka,No,
elx,Elamite,,Elamite,elx,No,
enm,"English, Middle (1100-1500)",,"English, Middle (1100-1500)",enm,No,
ewo,Ewondo,,Ewondo,ewo,No,
fan,Fang,,Fang,fan,No,
fat,Fanti,,Fanti,fat,No,
fil,Filipino; Pilipino,,Filipino; Pilipino,fil,No,
fiu,Finno-Ugrian languages,,Finno-Ugrian languages,fiu,No,
fon,Fon,,Fon,fon,No,
frm,"French, Middle (ca.1400-1600)",,"French, Middle (ca.1400-1600)",frm,No,
fro,"French, Old (842-ca.1400)",,"French, Old (842-ca.1400)",fro,No,
frr,Northern Frisian,,Northern Frisian,frr,No,
frs,Eastern Frisian,,Eastern Frisian,frs,No,
fur,Friulian,,Friulian,fur,No,
gaa,Ga,,Ga,gaa,No,
gay,Gayo,,Gayo,gay,No,
gba,Gbaya,,Gbaya,gba,No,
gem,Germanic languages,,Germanic languages,gem,No,
gez,Geez,,Geez,gez,No,
gil,Gilbertese,,Gilbertese,gil,No,
gmh,"German, Middle High (ca.1050-1500)",,"German, Middle High (ca.1050-1500)",gmh,No,
goh,"German, Old High (ca.750-1050)",,"German, Old High (ca.750-1050)",goh,No,
gon,Gondi,,Gondi,gon,No,
gor,Gorontalo,,Gorontalo,gor,No,
got,Gothic,,Gothic,got,No,
grb,Grebo,,Grebo,grb,No,
grc,Greek,Κοινη ,"Greek, Ancient (to 1453)",grc,No,
gsw,Swiss German; Alemannic; Alsatian,,Swiss German; Alemannic; Alsatian,gsw,No,
gwi,Gwich'in,,Gwich'in,gwi,No,
hai,Haida,,Haida,hai,No,
haw,Hawaiian,,Hawaiian,haw,No,
hil,Hiligaynon,Ilonggo ,Hiligaynon,hil,No,
him,Himachali languages; Western Pahari languages,,Himachali languages; Western Pahari languages,him,No,
hit,Hittite,,Hittite,hit,No,
hmn,Hmong; Mong,,Hmong; Mong,hmn,No,
hsb,Upper Sorbian,,Upper Sorbian,hsb,No,
hup,Hupa,,Hupa,hup,No,
iba,Iban,,Iban,iba,No,
ijo,Ijo languages,,Ijo languages,ijo,No,
ilo,Iloko,,Iloko,ilo,No,
inc,Indic languages,,Indic languages,inc,No,
ine,Indo-European languages,,Indo-European languages,ine,No,
