Name,Native Name (endonym),ISO language name,Code (639-1),ISO endonym,RTL,Language family,639-1,639-2/T,639-2/B,639-3,Notes
Aragonese,aragonés,Aragonese,an,aragonés,No,Indo-European,an,arg,arg,arg,
Armenian,Հայերեն,Armenian,hy,Հայերեն,No,Indo-European,hy,hye,arm,hye,"also known as Հայերէն; ISO 639-3 code ""hye"" is for Eastern Armenian, ""hyw"" is for Western Armenian, and ""xcl"" is for Classical Armenian"
Assamese,অসমীয়া,Assamese,as,অসমীয়া,No,Indo-European,as,asm,asm,asm,
Avestan,avesta,Avestan,ae,avesta,No,Indo-European,ae,ave,ave,ave,ancient
Belarusian,беларуская мова,Belarusian,be,беларуская мова,No,Indo-European,be,bel,bel,bel,
Bengali,বাংলা,Bengali,bn,বাংলা,No,Indo-European,bn,ben,ben,ben,also known as Bangla
Bihari languages,भोजपुरी,Bihari languages,bh,भोजपुरी,No,Indo-European,bh,bih,bih,,"collective language code for Bhojpuri, Magahi, and Maithili"
Bosnian,bosanski jezik,Bosnian,bs,bosanski jezik,No,Indo-European,bs,bos,bos,bos,
Breton,brezhoneg,Breton,br,brezhoneg,No,Indo-European,br,bre,bre,bre,
Bulgarian,български език,Bulgarian,bg,български език,No,Indo-European,bg,bul,bul,bul,
"Catalan, Valencian","català, valencià","Catalan, Valencian",ca,"català, valencià",No,Indo-European,ca,cat,cat,cat,
Cornish,Kernewek,Cornish,kw,Kernewek,No,Indo-European,kw,cor,cor,cor,
Corsican,"corsu, lingua corsa",Corsican,co,"corsu, lingua corsa",No,Indo-European,co,cos,cos,cos,
Croatian,hrvatski jezik,Croatian,hr,hrvatski jezik,No,Indo-European,hr,hrv,hrv,hrv,
Czech,"čeština, český jazyk",Czech,cs,"čeština, český jazyk",No,Indo-European,cs,ces,cze,ces,
Danish,dansk,Danish,da,dansk,No,Indo-European,da,dan,dan,dan,
"Divehi, Dhivehi, Maldivian",ދިވެހި,"Divehi, Dhivehi, Maldivian",dv,ދިވެހި,Yes,Indo-European,dv,div,div,div,
Dutch,Nederlands,"Dutch, Flemish",nl,"Nederlands, Vlaams",No,Indo-European,nl,nld,dut,nld,
English,English,English,en,English,No,Indo-European,en,eng,eng,eng,
Faroese,føroyskt,Faroese,fo,føroyskt,No,Indo-European,fo,fao,fao,fao,
French,Français,French,fr,"français, langue française",No,Indo-European,fr,fra,fre,fra,
Galician,Galego,Galician,gl,Galego,No,Indo-European,gl,glg,glg,glg,
German,Deutsch,German,de,Deutsch,No,Indo-European,de,deu,ger,deu,
Greek,ελληνικά,"Greek, Modern (1453-)",el,ελληνικά,No,Indo-European,el,ell,gre,ell,
Gujarati,ગુજરાતી,Gujarati,gu,ગુજરાતી,No,Indo-European,gu,guj,guj,guj,
Hindi,"हिन्दी, हिंदी",Hindi,hi,"हिन्दी, हिंदी",No,Indo-European,hi,hin,hin,hin,
Irish,Gaeilge,Irish,ga,Gaeilge,No,Indo-European,ga,gle,gle,gle,
Icelandic,Íslenska,Icelandic,is,Íslenska,No,Indo-European,is,isl,ice,isl,
Italian,Italiano,Italian,it,Italiano,No,Indo-European,it,ita,ita,ita,
Kashmiri,"कश्मीरी, كشميري‎",Kashmiri,ks,"कश्मीरी, كشميري‎",No,Indo-European,ks,kas,kas,kas,
Kurdish,"Kurdî, کوردی‎",Kurdish,ku,"Kurdî, کوردی‎",Yes,Indo-European,ku,kur,kur,kur + 3,macrolanguage
Latin,"latine, lingua latina",Latin,la,"latine, lingua latina",No,Indo-European,la,lat,lat,lat,ancient
"Luxembourgish, Letzeburgesch",Lëtzebuergesch,"Luxembourgish, Letzeburgesch",lb,Lëtzebuergesch,No,Indo-European,lb,ltz,ltz,ltz,
"Limburgan, Limburger, Limburgish",Limburgs,"Limburgan, Limburger, Limburgish",li,Limburgs,No,Indo-European,li,lim,lim,lim,
Lithuanian,lietuvių kalba,Lithuanian,lt,lietuvių kalba,No,Indo-European,lt,lit,lit,lit,
Latvian,latviešu valoda,Latvian,lv,latviešu valoda,No,Indo-European,lv,lav,lav,lav + 2,macrolanguage
Manx,"Gaelg, Gailck",Manx,gv,"Gaelg, Gailck",No,Indo-European,gv,glv,glv,glv,
Macedonian,македонски јазик,Macedonian,mk,македонски јазик,No,Indo-European,mk,mkd,mac,mkd,
Marathi,मराठी,Marathi,mr,मराठी,No,Indo-European,mr,mar,mar,mar,also known as Marāṭhī
Nepali,नेपाली,Nepali,ne,नेपाली,No,Indo-European,ne,nep,nep,nep + 2,macrolanguage
Norwegian Bokmål,Norsk Bokmål,Norwegian Bokmål,nb,Norsk Bokmål,No,Indo-European,nb,nob,nob,nob,Covered by macrolanguage [no/nor]
Norwegian Nynorsk,Norsk Nynorsk,Norwegian Nynorsk,nn,Norsk Nynorsk,No,Indo-European,nn,nno,nno,nno,Covered by macrolanguage [no/nor]
Norwegian,Norsk,Norwegian,no,Norsk,No,Indo-European,no,nor,nor,nor + 2,"macrolanguage, Bokmål is [nb/nob], Nynorsk is [nn/nno]"
Occitan,"occitan, lenga d'òc",Occitan,oc,"occitan, lenga d'òc",No,Indo-European,oc,oci,oci,oci,
"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",ѩзыкъ словѣньскъ,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",cu,ѩзыкъ словѣньскъ,No,Indo-European,cu,chu,chu,chu,"ancient, in use by Orthodox Church"
Oriya,ଓଡ଼ିଆ,Oriya,or,ଓଡ଼ିଆ,No,Indo-European,or,ori,ori,ori + 2,"macrolanguage, also known as Odia"
"Ossetian, Ossetic",ирон æвзаг,"Ossetian, Ossetic",os,ирон æвзаг,No,Indo-European,os,oss,oss,oss,
"Punjabi, Panjabi","ਪੰਜਾਬੀ, پنجابی‎","Punjabi, Panjabi",pa,"ਪੰਜਾਬੀ, پنجابی‎",No,Indo-European,pa,pan,pan,pan,
Pali,"पालि, पाळि",Pali,pi,"पालि, पाळि",No,Indo-European,pi,pli,pli,pli,"ancient, also known as Pāli"
Persian,فارسی,Persian,fa,فارسی,Yes,Indo-European,fa,fas,per,fas + 2,"macrolanguage, also known as Farsi"
Polish,Polski,Polish,pl,"język polski, polszczyzna",No,Indo-European,pl,pol,pol,pol,
"Pashto, Pushto",پښتو,"Pashto, Pushto",ps,پښتو,Yes,Indo-European,ps,pus,pus,pus + 3,macrolanguage
Portuguese,Português,Portuguese,pt,Português,No,Indo-European,pt,por,por,por,
Romansh,Rumantsch Grischun,Romansh,rm,Rumantsch Grischun,No,Indo-European,rm,roh,roh,roh,
Romanian,Română,"Romanian, Moldavian, Moldovan",ro,Română,No,Indo-European,ro,ron,rum,ron,"The identifiers mo and mol are deprecated, leaving ro and ron (639-2/T) and rum (639-2/B) the current language identifiers to be used for the variant of the Romanian language also known as Moldavian and Moldovan in English and moldave in French. The identifiers mo and mol will not be assigned to different items, and recordings using these identifiers will not be invalid."
Russian,русский,Russian,ru,русский,No,Indo-European,ru,rus,rus,rus,
Sanskrit,संस्कृतम्,Sanskrit,sa,संस्कृतम्,No,Indo-European,sa,san,san,san,"ancient, still spoken, also known as Saṃskṛta"
Sardinian,sardu,Sardinian,sc,sardu,No,Indo-European,sc,srd,srd,srd + 4,macrolanguage
Sindhi,"सिन्धी, سنڌي، سندھی‎",Sindhi,sd,"सिन्धी, سنڌي، سندھی‎",No,Indo-European,sd,snd,snd,snd,
Serbian,српски језик,Serbian,sr,српски језик,No,Indo-European,sr,srp,srp,srp,The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2]
"Gaelic, Scottish Gaelic",Gàidhlig,"Gaelic, Scottish Gaelic",gd,Gàidhlig,No,Indo-European,gd,gla,gla,gla,
"Sinhala, Sinhalese",සිංහල,"Sinhala, Sinhalese",si,සිංහල,No,Indo-European,si,sin,sin,sin,
